SLA (m)  	SSH (m)  	lat (degrees_north)  	
-0.2227000001	32.7913999999	-48.580729	
-0.2527999999	32.7124000001	-48.537712	
-0.3408000002	32.6162999998	-48.494672	
-0.2744999998	32.7016000002	-48.45161	
-0.2535	32.7411	-48.408526	
-0.1957000001	32.8352999999	-48.36542	
-0.2992000001	32.7942999999	-48.322292	
-0.215	32.9744	-48.279142	
-0.2656	33.0678	-48.235971	
-0.2184	33.2508	-48.192778	
-0.2570999999	33.2460000001	-48.149564	
-0.1187	33.3123	-48.106328	
-0.0507	33.2795	-48.06307	
-0.1115000001	33.1484999999	-48.019791	
-0.0395999998	33.1861000002	-47.976491	
0.0673000001	33.2711000001	-47.933169	
0.0274	33.1976	-47.889827	
-0.0122	33.1255	-47.846463	
-0.0165999999	33.0832000001	-47.803078	
0.0922	33.1824	-47.759672	
0.1384	33.2535	-47.716245	
0.0717	33.1911	-47.672797	
0.0353000001	33.1286000001	-47.629329	
0.0219000001	33.0883000001	-47.58584	
0.102	33.1641	-47.54233	
0.0073999999	33.0600999999	-47.498799	
-0.0717000001	32.9371999999	-47.455248	
-0.0217	32.9161	-47.411676	
0.0261000002	32.9084000002	-47.368084	
-0.0007	32.8216	-47.324472	
-0.1170999998	32.6789000002	-47.280839	
-0.1062	32.6793	-47.237187	
-0.0825999998	32.7218000002	-47.193514	
-0.0726999998	32.7660000002	-47.14982	
-0.1619	32.718	-47.106107	
-0.1243999999	32.7960000001	-47.062374	
-0.0552	32.9089	-47.018621	
-0.0833	32.9428	-46.974848	
-0.1451	32.9265	-46.931055	
-0.0974	33.0049	-46.887243	
-0.1528000001	32.9682999999	-46.84341	
-0.051	33.0828	-46.799559	
-0.0480999999	33.0974000001	-46.755687	
-0.0887000001	33.0778999999	-46.711796	
-0.0709999999	33.1132000001	-46.667886	
0.0049000001	33.1914000001	-46.623956	
-0.0237	33.1336	-46.580007	
-0.0825	33.0381	-46.536039	
-0.0147	33.0683	-46.492051	
-0.1038999999	32.9808000001	-46.448045	
-0.0846999999	33.0330000001	-46.404019	
-0.1030000002	33.0438999998	-46.359974	
-0.155	33.0134	-46.31591	
-0.1041	33.0684	-46.271828	
-0.0750000002	33.1026999998	-46.227726	
-0.1171	33.0683	-46.183606	
-0.2464999999	32.9586000001	-46.139467	
-0.1484000001	33.0817999999	-46.095309	
-0.1416	33.1168	-46.051133	
-0.1998	33.083	-46.006938	
-0.184	33.1316	-45.962724	
-0.1774	33.1728	-45.918492	
-0.1483000001	33.2236999999	-45.874242	
-0.0782000001	33.3112999999	-45.829973	
-0.1443000001	33.2671999999	-45.785686	
-0.0548	33.3718	-45.741381	
-0.1110000002	33.3146999998	-45.697058	
-0.0734000001	33.3466999999	-45.652716	
-0.0455000001	33.3929999999	-45.608357	
-0.046	33.4248	-45.563979	
-0.0608	33.4455	-45.519583	
-0.0838000002	33.4540999998	-45.47517	
-0.0148999999	33.5381000001	-45.430738	
0.0103000001	33.5721000001	-45.386289	
0.0376	33.62	-45.341822	
0.0416	33.6436	-45.297338	
-0.0436	33.5648	-45.252836	
-0.0108	33.5893	-45.208316	
-0.0806	33.5141	-45.163778	
-0.0458000001	33.5534999999	-45.119223	
0.0139	33.6319	-45.074651	
0.0438	33.6789	-45.030062	
0.0494000001	33.6941000001	-44.985455	
0.078	33.7323	-44.94083	
0.1172	33.7826	-44.896189	
0.0289000002	33.7055000002	-44.85153	
0.0405999998	33.7294999998	-44.806855	
0.0665999999	33.7677999999	-44.762162	
0.0673000001	33.7828000001	-44.717452	
0.0274999998	33.7553999998	-44.672725	
0.0316	33.7665	-44.627981	
0.0583	33.7949	-44.583221	
0.0056999999	33.7423999999	-44.538443	
-0.0004000001	33.7340999999	-44.493649	
0.0057000001	33.7411000001	-44.448838	
-0.0128999999	33.7314000001	-44.404011	
-0.0113	33.738	-44.359167	
0.0199000001	33.7658000001	-44.314306	
0.0357999998	33.7929999998	-44.269429	
-0.0303	33.7436	-44.224535	
-0.0006	33.7841	-44.179625	
0.0668999999	33.8573999999	-44.134698	
-0.0068999999	33.7911000001	-44.089756	
-0.037	33.7794	-44.044796	
0.0670000001	33.8982000001	-43.999821	
